date,AAPL,AMZN,ASML,DXCM,INTC,MSFT,NVDA,NFLX,PEP,SGEN
2008/12/5,2.866435964,2.413,21.11897709,0.825,8.74718612,14.89806588,1.689674286,3.609999928,35.83794928,7.84
2008/12/8,3.040861642,2.5705,21.55116639,0.91,9.175001845,15.75281148,1.634576211,3.644285641,35.99239425,8.34
2008/12/9,3.051229602,2.5625,22.02811241,0.9025,9.411945938,15.44540297,1.792983175,4.012857063,35.09929939,8.66
2008/12/10,2.994815703,2.485,23.93578174,0.8225,9.392200597,15.45290074,1.962868905,4.068571347,35.59620931,8.63
2008/12/11,2.896929964,2.4125,23.66758568,0.7975,9.221074307,14.5831596,1.880221793,4.01999992,35.39475935,8.12
2008/12/12,2.996645343,2.5625,24.50212645,0.8825,9.708126055,14.51567969,1.974347671,4.072857061,34.93813942,8.51
2008/12/15,2.889306464,2.4425,25.03874811,0.785,9.602817569,14.2757511,1.910066584,4.069999919,35.20002438,8.19
2008/12/16,2.910042384,2.6315,25.94788343,0.79,10.29390451,15.07801232,2.038628758,4.092857061,36.40200919,8.88
2008/12/17,2.718845006,2.659,25.84356583,0.755,10.04379685,14.74061274,2.139641894,4.112857061,36.48258917,8.85
2008/12/18,2.727078386,2.604,25.51569413,0.6375,9.385618817,14.47069308,1.942207127,4.034285634,36.73775913,8.87
2008/12/19,2.744459966,2.578,25.96280234,0.6575,9.504090864,14.33573324,1.955981646,3.955714207,36.3214292,8.88
2008/12/22,2.614555528,2.492,25.63493064,0.625,9.43827306,14.38071985,1.84119399,3.988571349,36.09311923,8.83
2008/12/23,2.634071687,2.554,25.85848474,0.6375,9.26056499,14.45569754,1.815940706,3.878571351,36.37514919,8.75
2008/12/24,2.593209728,2.572,25.91804561,0.62,9.365873476,14.37322209,1.772321397,3.915714207,36.62360415,8.72
2008/12/26,2.616690108,2.589,26.03728212,0.5975,9.332964574,14.34323101,1.724110582,4.065714204,36.63703415,8.74
2008/12/29,2.641085307,2.47,25.60509282,0.565,9.300055672,14.21576895,1.779208657,3.98999992,36.3079992,8.43
2008/12/30,2.631327227,2.538,26.67822137,0.63,9.668635373,14.50068415,1.84119399,4.094285632,36.85191411,8.84
2008/12/31,2.602662868,2.564,26.93149853,0.69,9.648890032,14.57566183,1.852672756,4.269999915,36.77804913,8.94
