,portfolio,market
2013-05-01,2.6152161348645233,2.1154961171528277
2013-05-02,2.670344131884395,2.151271984888239
2013-05-03,2.693921447901174,2.1696516996028925
2013-05-06,2.688680056270041,2.1613324157197975
2013-05-07,2.672768315658151,2.1574066023201044
2013-05-08,2.6871897259218493,2.1678433740173912
2013-05-09,2.704657754036444,2.1771819994383446
2013-05-10,2.7338472020072118,2.207640652630333
2013-05-13,2.7719393519994293,2.215563998873468
2013-05-14,2.7963439921066557,2.2302870831344332
2013-05-15,2.788482194731748,2.234453777053173
2013-05-16,2.7625442173957095,2.2159933698415912
2013-05-17,2.8217351108087767,2.2537175289744926
2013-05-20,2.8184982134765013,2.2531649852696782
